Surname,count,percent,min_rank,cume_dist
安部,1179,0.0660172820813754,268,0.392743046396436
岡部,1175,0.06579330487329609,269,0.39420850552478093
武藤,1173,0.06568131626925644,270,0.3956739646531258
土井,1169,0.06545733906117714,271,0.39713942378147077
松崎,1160,0.0649533903429987,272,0.3986048829098156
神田,1159,0.06489739604097887,273,0.4000703420381606
森川,1158,0.06484140173895904,274,0.40153580116650545
江口,1151,0.06444944162482026,275,0.4030012602948504
山根,1150,0.06439344732280043,276,0.4044667194231953
中谷,1148,0.06428145871876079,277,0.40593217855154023
稲葉,1147,0.06422546441674094,278,0.40739763767988507
森下,1146,0.06416947011472113,279,0.4103285559365749
村松,1146,0.06416947011472113,279,0.4103285559365749
徳永,1131,0.06332955558442373,281,0.41179401506491986
三木,1130,0.06327356128240391,282,0.4132594741932647
戸田,1128,0.06316157267836425,283,0.41472493332160965
西尾,1124,0.06293759547028495,284,0.41619039244995454
渋谷,1122,0.06282560686624529,285,0.4176558515782995
田島,1121,0.06276961256422546,286,0.41912131070664443
宮川,1119,0.06265762396018582,287,0.42058676983498927
榎本,1118,0.06260162965816599,288,0.4220522289633343
安達,1113,0.06232165814806685,289,0.4235176880916791
岸本,1110,0.06215367524200737,290,0.42498314722002406
佐伯,1106,0.06192969803392807,291,0.42644860634836895
堤,1103,0.061761715127868586,292,0.4279140654767139
三好,1099,0.061537737919789275,293,0.42937952460505874
荒川,1098,0.06148174361776946,294,0.4308449837334037
長田,1097,0.06142574931574963,295,0.4337759019900935
堀田,1097,0.06142574931574963,295,0.4337759019900935
長尾,1082,0.060585834785452236,297,0.43524136111843836
大川,1080,0.06047384618141258,298,0.4367068202467833
大澤,1075,0.060193874671313444,299,0.4381722793751282
米田,1071,0.05996989746323414,300,0.43963773850347315
飯塚,1069,0.05985790885919449,301,0.441103197631818
冨田,1068,0.05980191455717466,302,0.44256865676016294
岩井,1066,0.059689925953135006,303,0.44403411588850783
関根,1062,0.0594659487450557,304,0.4454995750168528
田代,1061,0.05940995444303588,305,0.4469650341451977
榊原,1057,0.059185977234956576,306,0.4484304932735426
金田,1051,0.05885001142283761,307,0.44989595240188757
中原,1047,0.05862603421475831,308,0.4513614115302324
本多,1044,0.05845805130869883,309,0.45282687065857735
落合,1042,0.05834606270465918,310,0.45429232978692224
飯島,1040,0.058234074100619516,311,0.4557577889152672
野崎,1039,0.05817807979859969,312,0.45722324804361203
西野,1035,0.05795410259052039,313,0.458688707171957
根本,1034,0.05789810828850056,314,0.46015416630030187
陳,1032,0.057786119684460915,315,0.4616196254286468
金井,1031,0.057730125382441086,316,0.46308508455699166
岡野,1028,0.057562142476381604,317,0.4660160028136815
古田,1028,0.057562142476381604,317,0.4660160028136815
石塚,1025,0.05739415957032212,319,0.46748146194202644
小笠原,1021,0.05717018236224282,320,0.4689469210703713
黒川,1001,0.05605029632184629,321,0.4704123801987163
岸,998,0.055882313415786804,322,0.4718778393270611
細川,996,0.05577032481174715,323,0.47334329845540607
佐久間,989,0.055378364697608366,324,0.474808757583751
中澤,987,0.05526637609356872,325,0.4762742167120959
村井,985,0.05515438748952907,326,0.47773967584044086
丹羽,975,0.0545944444693308,327,0.48067059409713064
町田,975,0.0545944444693308,327,0.48067059409713064
山岸,974,0.05453845016731097,329,0.48213605322547554
森山,973,0.05448245586529114,330,0.4836015123538205
松山,972,0.05442646156327133,331,0.4850669714821653
泉,971,0.05437046726125149,332,0.48653243061051027
西岡,970,0.05431447295923166,333,0.48799788973885516
三輪,967,0.05414649005317219,334,0.4894633488672001
笠原,966,0.054090495751152365,335,0.49092880799554495
高井,962,0.05386651854307306,336,0.49239426712388995
大村,957,0.05358654703297392,337,0.4938597262522348
